Demand_ID,Market_ID,Customer_Segment,Potential_Customers,Existing_Customers,Purchase_Potential,Demand_Score,Customer_Growth_Rate
D0072,M018,Startup,13110,1670,68820,64.8,20.5
D0073,M019,Small Business,18689,3064,59895,61.0,14.7
D0074,M019,Mid-Market,11503,1794,225985,59.8,25.0
D0075,M019,Enterprise,4603,501,700869,57.0,23.9
D0076,M019,Startup,8250,1049,86734,58.5,23.7
D0077,M020,Small Business,14421,2436,62885,53.6,16.3
D0078,M020,Mid-Market,9471,1561,217019,56.3,24.8
D0079,M020,Enterprise,4446,381,652633,62.9,26.5
D0080,M020,Startup,5710,844,70509,56.5,19.5
D0081,M021,Small Business,12197,1977,53228,58.0,18.7
D0082,M021,Mid-Market,8048,1561,190871,61.3,15.4
D0083,M021,Enterprise,3674,378,724761,60.8,20.1
D0084,M021,Startup,5368,808,83941,61.9,13.0
D0085,M022,Small Business,17798,2789,63033,63.8,12.5
D0086,M022,Mid-Market,13500,2439,237620,63.2,14.4
D0087,M022,Enterprise,5295,467,741728,68.1,10.4
D0088,M022,Startup,7557,1063,65480,69.1,15.8
D0089,M023,Small Business,7882,1310,51168,56.7,23.2
D0090,M023,Mid-Market,5202,990,166322,57.9,22.0
D0091,M023,Enterprise,2620,272,716334,65.7,14.0
D0092,M023,Startup,3966,620,73532,58.3,20.3
D0093,M024,Small Business,178879,40124,77036,77.9,2.7
D0094,M024,Mid-Market,120807,24277,222035,86.4,3.4
D0095,M024,Enterprise,47507,5312,856501,82.7,3.8
D0096,M024,Startup,78687,14312,81559,80.1,2.2
D0097,M025,Small Business,12485,2293,54318,64.8,16.3
D0098,M025,Mid-Market,9064,1681,241397,60.7,22.5
D0099,M025,Enterprise,3838,363,796827,68.4,17.0
D0100,M025,Startup,5224,668,75834,66.8,24.7
D0101,M026,Small Business,125528,25197,76554,81.1,4.6
D0102,M026,Mid-Market,80347,17876,212436,76.9,8.0
D0103,M026,Enterprise,32862,3931,892717,86.3,6.3
D0104,M026,Startup,52522,7762,78053,87.4,7.4
D0105,M027,Small Business,140423,32746,63602,79.1,4.7
D0106,M027,Mid-Market,93611,17793,209725,83.3,3.4
D0107,M027,Enterprise,35258,4217,696661,86.8,3.0
D0108,M027,Startup,51042,8762,88938,83.4,3.9
D0109,M028,Small Business,21192,4179,66542,62.6,22.0
D0110,M028,Mid-Market,15867,2946,253094,64.1,16.6
D0111,M028,Enterprise,6104,605,799360,62.3,13.8
D0112,M028,Startup,8765,1110,96245,65.9,17.7
D0113,M029,Small Business,15087,2821,69813,63.7,12.1
D0114,M029,Mid-Market,11312,2108,246488,62.7,9.4
D0115,M029,Enterprise,4913,457,809086,65.8,17.2
D0116,M029,Startup,6712,941,77106,64.7,11.1
D0117,M030,Small Business,23413,4241,66149,61.6,26.7
D0118,M030,Mid-Market,15850,2792,206463,62.2,26.8
D0119,M030,Enterprise,5840,539,789099,64.6,20.7
D0120,M030,Startup,10253,1549,91446,64.7,22.4
D0121,M031,Small Business,19910,3629,61183,68.8,14.7
D0122,M031,Mid-Market,13042,2559,241369,69.0,14.3
D0123,M031,Enterprise,5900,668,802575,68.5,13.7
D0124,M031,Startup,7413,1172,69192,70.2,16.2
D0125,M032,Small Business,20286,4059,53613,69.9,11.4
D0126,M032,Mid-Market,14432,2591,207516,69.8,14.5
D0127,M032,Enterprise,5863,554,774960,69.6,12.7
D0128,M032,Startup,9838,1298,87522,71.4,10.8
D0129,M033,Small Business,11348,1883,62754,63.0,16.3
D0130,M033,Mid-Market,6980,1186,218955,68.5,9.9
D0131,M033,Enterprise,3369,311,777038,70.3,12.7
D0132,M033,Startup,4767,655,75701,67.4,17.8
D0133,M034,Small Business,176243,33218,43569,66.8,8.5
D0134,M034,Mid-Market,100505,19432,166888,68.7,6.2
D0135,M034,Enterprise,43955,5307,676807,73.1,9.3
D0136,M034,Startup,67934,10969,61891,71.0,7.5
D0137,M035,Small Business,9488,1479,39851,50.1,15.5
D0138,M035,Mid-Market,6012,955,177665,50.5,16.1
D0139,M035,Enterprise,2571,212,488918,54.1,15.1
D0140,M035,Startup,3939,550,65321,51.4,12.3
D0141,M036,Small Business,21900,3172,49854,54.7,13.0
D0142,M036,Mid-Market,14282,2115,162775,51.3,8.9
D0143,M036,Enterprise,5659,518,508369,60.4,9.4
D0144,M036,Startup,8851,1133,61413,59.2,9.4
D0145,M037,Small Business,12219,1880,42749,57.6,19.4
D0146,M037,Mid-Market,8437,1487,177991,57.0,18.4
D0147,M037,Enterprise,3296,313,447494,57.3,15.0
D0148,M037,Startup,5142,731,52687,57.1,16.9
D0149,M038,Small Business,9958,1439,45826,55.2,9.0
D0150,M038,Mid-Market,6636,937,168452,52.3,13.4
D0151,M038,Enterprise,2648,218,527430,58.0,12.4
D0152,M038,Startup,4285,533,67555,54.4,11.8
D0153,M039,Small Business,7424,1140,50480,55.3,14.1
D0154,M039,Mid-Market,4196,599,166898,53.0,15.7
D0155,M039,Enterprise,1928,173,522206,51.8,9.4
D0156,M039,Startup,2741,351,61737,53.3,11.6
D0157,M040,Small Business,22831,3404,39938,55.7,23.7
D0158,M040,Mid-Market,13589,1895,164193,54.3,18.7
D0159,M040,Enterprise,6330,671,625254,52.4,25.8
D0160,M040,Startup,8765,1259,59205,54.1,25.6
D0161,M041,Small Business,38175,7083,46683,64.8,6.0
D0162,M041,Mid-Market,24411,4247,187456,67.6,5.9
D0163,M041,Enterprise,11350,1102,632054,69.2,8.5
D0164,M041,Startup,17585,2954,72730,69.3,7.0
D0165,M042,Small Business,10122,1445,38851,53.9,16.7
D0166,M042,Mid-Market,6535,1051,169525,52.2,20.4
D0167,M042,Enterprise,3197,303,472769,58.6,12.5
D0168,M042,Startup,5029,633,52124,55.7,14.8
D0169,M043,Small Business,12859,1804,47962,50.7,10.3
D0170,M043,Mid-Market,8716,1147,156222,48.1,8.6
D0171,M043,Enterprise,3414,277,530956,45.9,6.5
D0172,M043,Startup,5680,743,57407,46.4,11.3
D0173,M044,Small Business,11198,1631,43198,53.1,9.0
D0174,M044,Mid-Market,6639,892,138500,49.9,12.4
D0175,M044,Enterprise,2866,231,473530,54.6,8.1
D0176,M044,Startup,4939,608,62054,51.1,9.5
D0177,M045,Small Business,14443,2600,52167,52.2,10.1
D0178,M045,Mid-Market,8941,1333,173315,58.2,8.0
D0179,M045,Enterprise,4261,433,703671,59.1,6.7
D0180,M045,Startup,6463,827,86958,55.4,8.8
D0181,M046,Small Business,2569,458,62226,61.1,21.8
D0182,M046,Mid-Market,1672,308,199891,54.7,16.5
D0183,M046,Enterprise,728,65,653293,61.3,17.9
D0184,M046,Startup,948,124,77946,58.0,18.3
D0061,M016,Small Business,13779,3062,52485,69.9,13.7
