Sale_ID,Date,Market_ID,Product_Category,Orders,Customers,Revenue,Cost,Profit,Discount
S000079,2023-07-01,M001,Consulting,87,49,2077993.04,1410764.5,667228.54,86100.44
S000080,2023-08-01,M001,Consulting,82,54,2117097.49,1403487.92,713609.57,152887.21
S000081,2023-09-01,M001,Consulting,77,55,1862878.53,1215498.85,647379.68,52991.28
S000082,2023-10-01,M001,Consulting,79,45,2042082.83,1395010.85,647071.98,67308.05
S000083,2023-11-01,M001,Consulting,80,53,2162292.5,1504947.84,657344.66,122655.14
S000084,2023-12-01,M001,Consulting,82,47,1944485.26,1265955.16,678530.1,63314.21
S000085,2024-01-01,M001,Consulting,70,47,1695011.21,1179486.6,515524.61,99556.7
S000086,2024-02-01,M001,Consulting,87,50,2429725.78,1620269.25,809456.53,197027.39
S000087,2024-03-01,M001,Consulting,91,60,2298016.63,1490176.05,807840.58,54224.85
S000088,2024-04-01,M001,Consulting,94,62,2597992.94,1718422.81,879570.13,65432.41
S000089,2024-05-01,M001,Consulting,86,48,2015193.7,1352538.31,662655.39,83163.99
S000090,2024-06-01,M001,Consulting,96,55,2618666.07,1764402.36,854263.71,197321.35
S000091,2024-07-01,M001,Consulting,77,52,1949310.09,1294270.28,655039.81,156357.41
S000092,2024-08-01,M001,Consulting,97,60,2558997.81,1724707.85,834289.96,183752.04
S000093,2024-09-01,M001,Consulting,96,57,2286615.12,1548097.18,738517.94,70871.34
S000094,2024-10-01,M001,Consulting,82,46,1846371.31,1226784.9,619586.41,113675.14
S000095,2024-11-01,M001,Consulting,86,52,2314988.76,1573218.33,741770.43,119875.19
S000096,2024-12-01,M001,Consulting,97,75,2660120.74,1795324.75,864795.99,176320.29
S000097,2025-01-01,M001,Consulting,97,63,2512640.94,1699193.75,813447.19,210028.64
S000098,2025-02-01,M001,Consulting,94,53,2212479.64,1451069.61,761410.03,160243.35
S000099,2025-03-01,M001,Consulting,95,59,2211334.98,1500878.78,710456.2,152540.89
S000100,2025-04-01,M001,Consulting,98,66,2507449.57,1610350.59,897098.98,57145.41
S000101,2025-05-01,M001,Consulting,85,53,2045507.95,1315015.36,730492.59,178641.94
S000102,2025-06-01,M001,Consulting,96,66,2730471.77,1904160.96,826310.81,183104.65
S000103,2025-07-01,M001,Consulting,81,45,2205361.1,1467954.62,737406.48,144684.18
S000104,2025-08-01,M001,Consulting,99,58,2589672.71,1749290.47,840382.24,140932.08
S000105,2025-09-01,M001,Consulting,77,49,1892904.66,1282647.36,610257.3,151510.58
S000106,2025-10-01,M001,Consulting,91,65,2211423.87,1534974.99,676448.88,170168.23
S000107,2025-11-01,M001,Consulting,97,64,2373176.03,1558693.54,814482.49,208632.86
S000108,2025-12-01,M001,Consulting,93,63,2666844.29,1805079.22,861765.07,154627.77
S000109,2023-01-01,M001,Digital Solutions,66,42,1006338.37,679202.45,327135.92,73663.3
S000110,2023-02-01,M001,Digital Solutions,66,45,1045892.41,694145.16,351747.25,72038.46
S000111,2023-03-01,M001,Digital Solutions,70,55,1031173.56,672075.46,359098.1,32055.55
S000112,2023-04-01,M001,Digital Solutions,74,50,956541.18,666647.44,289893.74,80258.68
S000113,2023-05-01,M001,Digital Solutions,73,42,1132412.58,755661.78,376750.8,79452.6
S000114,2023-06-01,M001,Digital Solutions,74,45,1148593.5,799667.65,348925.85,42568.21
S000115,2023-07-01,M001,Digital Solutions,75,48,1186990.39,792784.3,394206.09,96802.43
S000116,2023-08-01,M001,Digital Solutions,83,51,1275296.8,844624.67,430672.13,108907.02
S000117,2023-09-01,M001,Digital Solutions,75,56,1019245.23,667925.01,351320.22,62261.25
S000118,2023-10-01,M001,Digital Solutions,93,62,1220167.81,817164.48,403003.33,53880.99
S000119,2023-11-01,M001,Digital Solutions,82,56,1163883.91,764330.29,399553.62,38647.54
S000120,2023-12-01,M001,Digital Solutions,86,59,1153902.3,789191.48,364710.82,26603.58
S000121,2024-01-01,M001,Digital Solutions,81,58,1250634.42,826124.98,424509.44,83114.94
S000122,2024-02-01,M001,Digital Solutions,83,66,1189692.97,760952.82,428740.15,65623.92
S000123,2024-03-01,M001,Digital Solutions,85,65,1331071.64,883589.81,447481.83,75626.93
S000124,2024-04-01,M001,Digital Solutions,76,55,1066654.31,721790.98,344863.33,32858.59
S000125,2024-05-01,M001,Digital Solutions,76,60,1047657.29,711319.78,336337.51,68609.57
S000126,2024-06-01,M001,Digital Solutions,85,64,1326654.3,875857.92,450796.38,55940.08
S000127,2024-07-01,M001,Digital Solutions,82,60,1283573.93,820914.77,462659.16,31819.09
S000128,2024-08-01,M001,Digital Solutions,81,63,1303370.25,889166.98,414203.27,65661.19
S000129,2024-09-01,M001,Digital Solutions,68,48,1064473.86,706832.69,357641.17,73001.7
S000130,2024-10-01,M001,Digital Solutions,95,53,1461717.7,957428.11,504289.59,67588.18
S000131,2024-11-01,M001,Digital Solutions,76,51,1108136.86,759019.64,349117.22,35348.3
S000132,2024-12-01,M001,Digital Solutions,74,56,1092904.99,712409.89,380495.1,91692.58
S000133,2025-01-01,M001,Digital Solutions,71,47,957713.37,625118.29,332595.08,19784.27
S000134,2025-02-01,M001,Digital Solutions,87,67,1302532.51,842580.32,459952.19,66326.37
S000135,2025-03-01,M001,Digital Solutions,82,57,1216575.41,806417.4,410158.01,45629.94
S000136,2025-04-01,M001,Digital Solutions,88,52,1227285.52,817853.85,409431.67,44924.05
S000137,2025-05-01,M001,Digital Solutions,82,56,1318102.62,863507.28,454595.34,116594.24
S000138,2025-06-01,M001,Digital Solutions,84,51,1224783.13,831074.11,393709.02,88339.71
S000139,2025-07-01,M001,Digital Solutions,70,49,1003698.19,694207.17,309491.02,40181.64
S000140,2025-08-01,M001,Digital Solutions,88,61,1217314.85,822414.35,394900.5,77253.7
S000141,2025-09-01,M001,Digital Solutions,86,62,1282013.64,881641.07,400372.57,82019.86
S000142,2025-10-01,M001,Digital Solutions,99,70,1354445.24,899147.65,455297.59,82038.97
S000143,2025-11-01,M001,Digital Solutions,95,54,1295124.23,883597.02,411527.21,41825.78
S000144,2025-12-01,M001,Digital Solutions,79,54,1264016.87,845944.73,418072.14,106106.74
S000145,2023-01-01,M001,SaaS,86,65,1053116.74,722216.2,330900.54,76097.33
S000146,2023-02-01,M001,SaaS,88,50,1204603.83,777987.87,426615.96,105589.57
S000147,2023-03-01,M001,SaaS,112,81,1538860.59,1070179.34,468681.25,117447.59
S000148,2023-04-01,M001,SaaS,90,67,975758.04,653362.06,322395.98,50578.44
S000149,2023-05-01,M001,SaaS,99,71,1242814.35,853496.59,389317.76,106658.86
S000150,2023-06-01,M001,SaaS,83,50,902631.14,623225.36,279405.78,53524.69
S000151,2023-07-01,M001,SaaS,106,64,1164903.02,800091.88,364811.14,97452.45
S000152,2023-08-01,M001,SaaS,89,58,998520.46,693148.63,305371.83,41244.41
S000153,2023-09-01,M001,SaaS,95,54,1278868.9,825560.83,453308.07,66187.94
S000154,2023-10-01,M001,SaaS,109,80,1486533.53,984899.23,501634.3,106969.22
S000155,2023-11-01,M001,SaaS,93,60,1032027.04,688115.2,343911.84,50123.6
S000156,2023-12-01,M001,SaaS,118,65,1405567.61,933301.09,472266.52,121636.22
S000157,2024-01-01,M001,SaaS,107,61,1375703.37,921814.74,453888.63,121679.56
S000158,2024-02-01,M001,SaaS,93,60,1057356.59,681709.07,375647.52,83914.28
S000159,2024-03-01,M001,SaaS,104,74,1323411.79,890958.88,432452.91,28446.77
S000160,2024-04-01,M001,SaaS,106,64,1184843.8,795355.64,389488.16,29387.34
S000161,2024-05-01,M001,SaaS,106,63,1213472.53,836788.48,376684.05,52178.31
S000162,2024-06-01,M001,SaaS,88,68,951148.59,655250.42,295898.17,28656.36
S000163,2024-07-01,M001,SaaS,88,53,996467.24,674671.56,321795.68,21727.58
S000164,2024-08-01,M001,SaaS,85,63,978672.56,642817.86,335854.7,31510.55
S000165,2024-09-01,M001,SaaS,86,63,1064530.07,726158.45,338371.62,56779.07
S000166,2024-10-01,M001,SaaS,117,79,1301877.96,869173.2,432704.76,112194.66
S000167,2024-11-01,M001,SaaS,93,69,1246287.67,833376.45,412911.22,64885.45
S000168,2024-12-01,M001,SaaS,124,70,1517381.27,1003743.21,513638.06,103222.63
S000169,2025-01-01,M001,SaaS,101,78,1113067.69,714864.86,398202.83,69656.69
S000170,2025-02-01,M001,SaaS,88,54,1117532.26,749083.42,368448.84,47789.01
S000171,2025-03-01,M001,SaaS,126,86,1532304.43,1032352.73,499951.7,41284.1
S000172,2025-04-01,M001,SaaS,108,82,1377297.0,941434.51,435862.49,97042.69
S000173,2025-05-01,M001,SaaS,94,62,1079635.19,710114.82,369520.37,55865.64
S000174,2025-06-01,M001,SaaS,100,57,1208029.2,818206.0,389823.2,55812.24
S000175,2025-07-01,M001,SaaS,92,71,1012128.79,695642.51,316486.28,26847.84
S000176,2025-08-01,M001,SaaS,91,66,1204413.01,807898.86,396514.15,73532.49
S000177,2025-09-01,M001,SaaS,106,67,1183669.55,779583.57,404085.98,78801.42
S000178,2025-10-01,M001,SaaS,121,92,1568545.03,1090929.21,477615.82,97294.82
S000179,2025-11-01,M001,SaaS,108,75,1235327.37,836074.73,399252.64,44097.66
S000180,2025-12-01,M001,SaaS,100,76,1190268.32,813139.35,377128.97,71638.68
S000181,2023-01-01,M001,IT Services,100,79,1767370.74,1191586.8,575783.94,114859.55
S000182,2023-02-01,M001,IT Services,78,61,1381991.77,903058.19,478933.58,45093.18
S000183,2023-03-01,M001,IT Services,105,65,1654726.36,1055328.79,599397.57,133851.46
S000184,2023-04-01,M001,IT Services,93,60,1391977.37,940128.04,451849.33,30826.73
S000185,2023-05-01,M001,IT Services,99,59,1591853.67,1047206.92,544646.75,73072.0
S000186,2023-06-01,M001,IT Services,98,72,1633696.67,1049645.9,584050.77,38690.21
S000187,2023-07-01,M001,IT Services,83,58,1418957.61,927609.72,491347.89,94127.56
S000188,2023-08-01,M001,IT Services,92,60,1425325.4,973064.79,452260.61,39862.4
S000189,2023-09-01,M001,IT Services,91,56,1557369.0,1038139.01,519229.99,103875.39
S000190,2023-10-01,M001,IT Services,87,56,1461365.09,932148.13,529216.96,60061.16
S000191,2023-11-01,M001,IT Services,93,54,1434253.26,942429.66,491823.6,29461.13
S000192,2023-12-01,M001,IT Services,109,64,1735370.45,1179392.94,555977.51,95477.24
S000193,2024-01-01,M001,IT Services,104,78,1527583.41,1052666.68,474916.73,35075.08
S000194,2024-02-01,M001,IT Services,81,63,1445723.64,971447.57,474276.07,86942.9
S000195,2024-03-01,M001,IT Services,109,71,1619815.59,1034497.48,585318.11,69220.83
S000196,2024-04-01,M001,IT Services,104,73,1843722.78,1276936.93,566785.85,48248.55
S000197,2024-05-01,M001,IT Services,106,64,1776081.43,1187910.31,588171.12,84725.6
S000198,2024-06-01,M001,IT Services,91,57,1431636.98,926967.71,504669.27,79790.61
S000199,2024-07-01,M001,IT Services,85,57,1532013.73,1008620.41,523393.32,108645.11
S000200,2024-08-01,M001,IT Services,106,79,1626577.99,1051072.99,575505.0,54993.02
S000201,2024-09-01,M001,IT Services,100,74,1702203.6,1103076.9,599126.7,126132.21
S000202,2024-10-01,M001,IT Services,105,77,1831148.4,1216494.72,614653.68,155081.42
S000203,2024-11-01,M001,IT Services,108,76,1824993.41,1257885.49,567107.92,116626.6
S000204,2024-12-01,M001,IT Services,95,53,1536039.06,1006979.94,529059.12,60254.44
S000205,2025-01-01,M001,IT Services,85,57,1329538.67,883498.17,446040.5,31885.4
S000206,2025-02-01,M001,IT Services,109,62,1946413.01,1340528.9,605884.11,122722.48
S000207,2025-03-01,M001,IT Services,108,71,1794664.67,1229182.11,565482.56,148439.18
S000208,2025-04-01,M001,IT Services,98,73,1666720.28,1094521.22,572199.06,88826.24
S000209,2025-05-01,M001,IT Services,90,50,1333260.68,921746.58,411514.1,58717.66
S000210,2025-06-01,M001,IT Services,107,72,1614655.21,1053182.47,561472.74,81771.11
S000211,2025-07-01,M001,IT Services,99,67,1488463.5,982045.23,506418.27,59244.64
S000212,2025-08-01,M001,IT Services,98,62,1645571.26,1126810.87,518760.39,107474.52
S000213,2025-09-01,M001,IT Services,88,50,1505989.53,985593.07,520396.46,106415.26
S000214,2025-10-01,M001,IT Services,115,89,2057708.64,1352741.2,704967.44,125091.74
S000215,2025-11-01,M001,IT Services,99,63,1808807.82,1228739.07,580068.75,85804.52
S000216,2025-12-01,M001,IT Services,114,89,1782769.34,1176629.12,606140.22,134449.93
S000217,2023-01-01,M002,Software,56,42,1093371.22,740348.84,353022.38,62155.46
S000218,2023-02-01,M002,Software,56,36,998380.68,656690.74,341689.94,32565.58
S000219,2023-03-01,M002,Software,53,41,974575.61,633077.09,341498.52,28876.26
S000220,2023-04-01,M002,Software,47,35,782791.27,534061.29,248729.98,61416.54
S000221,2023-05-01,M002,Software,61,34,1080641.82,736974.44,343667.38,31526.03
S000222,2023-06-01,M002,Software,53,31,1056875.8,721070.29,335805.51,80991.63
S000223,2023-07-01,M002,Software,49,32,884394.32,598365.08,286029.24,32392.81
S000224,2023-08-01,M002,Software,54,33,1056694.37,700520.4,356173.97,60633.95
S000225,2023-09-01,M002,Software,52,39,952149.65,653276.35,298873.3,43559.77
S000226,2023-10-01,M002,Software,68,54,1242874.07,811480.32,431393.75,58080.84
S000227,2023-11-01,M002,Software,61,48,1212436.65,829398.27,383038.38,35994.69
S000228,2023-12-01,M002,Software,56,39,1127477.47,754589.6,372887.87,30646.28
S000229,2024-01-01,M002,Software,62,47,1083932.58,739011.15,344921.43,42376.77
S000230,2024-02-01,M002,Software,63,36,1144623.47,792977.74,351645.73,40682.96
S000231,2024-03-01,M002,Software,60,38,979200.95,625900.76,353300.19,53993.63
S000232,2024-04-01,M002,Software,52,41,930129.57,593135.49,336994.08,79207.8
S000233,2024-05-01,M002,Software,63,44,1244956.41,802070.61,442885.8,49899.79
S000234,2024-06-01,M002,Software,63,45,1059947.73,718996.64,340951.09,54483.54
S000235,2024-07-01,M002,Software,49,27,850231.23,583341.76,266889.47,49667.36
S000236,2024-08-01,M002,Software,62,42,1035421.13,676426.23,358994.9,42535.7
S000237,2024-09-01,M002,Software,50,32,988627.3,655881.86,332745.44,27444.35
S000238,2024-10-01,M002,Software,71,49,1155451.1,770596.39,384854.71,42677.36
S000239,2024-11-01,M002,Software,56,36,1062132.01,690846.62,371285.39,52214.12
S000240,2024-12-01,M002,Software,66,37,1358672.38,869632.88,489039.5,77205.42
S000241,2025-01-01,M002,Software,59,47,1102927.34,727300.31,375627.03,58355.28
S000242,2025-02-01,M002,Software,61,48,1057827.0,673808.86,384018.14,79544.78
S000243,2025-03-01,M002,Software,61,44,1160656.54,791904.45,368752.09,82944.1
S000244,2025-04-01,M002,Software,56,31,1044795.46,715486.93,329308.53,33701.17
S000245,2025-05-01,M002,Software,65,43,1256401.36,846694.09,409707.27,96497.7
S000246,2025-06-01,M002,Software,52,38,949497.02,620597.48,328899.54,21901.52
S000247,2025-07-01,M002,Software,55,30,1122009.32,748293.84,373715.48,100126.53
S000248,2025-08-01,M002,Software,61,37,1194978.36,773708.1,421270.26,53759.92
S000249,2025-09-01,M002,Software,66,50,1167781.63,751430.69,416350.94,53439.25
S000250,2025-10-01,M002,Software,74,54,1496714.29,986632.09,510082.2,131951.31
S000251,2025-11-01,M002,software,66,44,1343720.21,896471.74,447248.47,102230.73
S000252,2025-12-01,M002,Software,71,40,1342683.83,920195.58,422488.25,78121.65
S000253,2023-01-01,M002,Business Services,34,24,298846.93,200872.14,97974.79,14890.98
S000254,2023-02-01,M002,Business Services,42,26,344202.56,236880.97,107321.59,15378.68
S000255,2023-03-01,M002,Business Services,50,30,515253.07,357005.59,158247.48,13011.62
S000256,2023-04-01,M002,Business Services,42,26,415903.57,281468.83,134434.74,36056.87
S000257,2023-05-01,M002,Business Services,36,25,354886.27,226448.65,128437.62,8767.94
S000258,2023-06-01,M002,Business Services,44,28,394302.59,264196.41,130106.18,24587.38
S000259,2023-07-01,M002,Business Services,43,33,384292.29,262004.75,122287.54,23124.61
S000260,2023-08-01,M002,Business Services,41,26,392021.98,255197.17,136824.81,10953.64
S000261,2023-09-01,M002,Business Services,44,29,394711.75,264338.6,130373.15,15127.08
S000262,2023-10-01,M002,Business Services,41,27,424014.68,276938.66,147076.02,35682.33
S000263,2023-11-01,M002,Business Services,44,25,440829.8,292324.19,148505.61,36548.11
S000264,2023-12-01,M002,Business Services,44,25,423911.0,291112.94,132798.06,17961.59
S000265,2024-01-01,M002,Business Services,40,22,372795.42,257034.95,115760.47,29672.78
S000266,2024-02-01,M002,Business Services,44,34,419532.3,286801.42,132730.88,23331.41
S000267,2024-03-01,M002,Business Services,40,24,336498.92,229970.89,106528.03,7349.1
S000268,2024-04-01,M002,Business Services,43,27,426054.27,285072.41,140981.86,26771.71
S000269,2024-05-01,M002,Business Services,37,23,382916.29,260050.77,122865.52,21749.15
S000270,2024-06-01,M002,Business Services,46,34,380233.2,264012.18,116221.02,24701.36
S000271,2024-07-01,M002,Business Services,42,30,372756.65,256709.16,116047.49,27814.51
S000272,2024-08-01,M002,Business Services,44,26,452060.2,299244.46,152815.74,37859.98
S000273,2024-09-01,M002,Business Services,37,21,312438.54,201797.62,110640.92,13305.59
S000274,2024-10-01,M002,Business Services,49,31,500634.67,345285.51,155349.16,39657.96
S000275,2024-11-01,M002,Business Services,43,30,401593.91,258429.78,143164.13,16544.75
S000276,2024-12-01,M002,Business Services,47,31,398533.25,275982.85,122550.4,12272.27
S000277,2025-01-01,M002,Business Services,46,33,435231.88,298809.23,136422.65,25875.96
S000278,2025-02-01,M002,Business Services,48,26,393709.87,265552.28,128157.59,23769.83
S000279,2025-03-01,M002,Business Services,49,36,442828.69,298616.86,144211.83,24294.76
S000280,2025-04-01,M002,Business Services,46,28,471613.29,313611.84,158001.45,35997.38
S000281,2025-05-01,M002,Business Services,47,29,388416.9,248429.42,139987.48,19720.85
S000282,2025-06-01,M002,Business Services,44,26,416459.37,272678.83,143780.54,29271.01
S000283,2025-07-01,M002,Business Services,48,36,494140.41,318150.31,175990.1,22699.73
S000284,2025-08-01,M002,Business Services,45,28,411730.35,268468.07,143262.28,15379.91
S000285,2025-09-01,M002,Business Services,39,24,349609.15,235259.91,114349.24,13068.01
S000286,2025-10-01,M002,Business Services,54,31,477183.45,320028.44,157155.01,19989.24
S000287,2025-11-01,M002,Business Services,53,35,490680.94,326756.99,163923.95,20411.26
S000288,2025-12-01,M002,Business Services,42,33,387964.5,269247.83,118716.67,13602.08
S000289,2023-01-01,M002,Consulting,35,23,980511.76,662096.06,318415.7,51909.35
S000290,2023-02-01,M002,Consulting,41,31,1032925.24,711631.1,321294.14,73260.81
S000291,2023-03-01,M002,Consulting,48,30,1200174.49,804377.22,395797.27,40356.91
S000292,2023-04-01,M002,Consulting,42,23,1077367.08,734618.09,342748.99,42642.67
S000293,2023-05-01,M002,Consulting,47,33,1092400.74,758677.74,333723.0,51969.06
S000294,2023-06-01,M002,Consulting,45,28,1276579.28,869730.8,406848.48,43319.51
S000295,2023-07-01,M002,Consulting,42,28,956892.13,616451.14,340440.99,41445.72
S000296,2023-08-01,M002,Consulting,41,27,1077854.26,718853.71,359000.55,46302.04
S000297,2023-09-01,M002,Consulting,43,25,1233727.98,839378.13,394349.85,50516.72
S000298,2023-10-01,M002,Consulting,43,32,1110566.33,753546.34,357019.99,45516.94
S000299,2023-11-01,M002,Consulting,50,32,1335564.5,927942.04,407622.46,81281.32
S000300,2023-12-01,M002,Consulting,50,36,1340013.64,854391.13,485622.51,71317.29
S000301,2024-01-01,M002,Consulting,48,35,1312848.61,880472.51,432376.1,92553.21
S000302,2024-02-01,M002,Consulting,44,26,1162981.94,782901.01,380080.93,91737.99
S000303,2024-03-01,M002,Consulting,41,29,930589.94,644798.61,285791.33,25770.54
S000304,2024-04-01,M002,Consulting,37,23,867518.48,587683.06,279835.42,42271.07
S000305,2024-05-01,M002,Consulting,47,36,1313890.2,893642.73,420247.47,32005.96
S000306,2024-06-01,M002,Consulting,39,23,956730.82,646495.17,310235.65,54326.43
S000307,2024-07-01,M002,Consulting,41,24,1156231.82,759112.0,397119.82,51799.29
S000308,2024-08-01,M002,Consulting,47,34,1246472.05,844607.96,401864.09,78160.48
S000309,2024-09-01,M002,Consulting,40,24,1039521.66,675161.03,364360.63,91585.75
S000310,2024-10-01,M002,Consulting,45,28,1070796.88,726320.77,344476.11,45179.97
S000311,2024-11-01,M002,Consulting,46,36,1263679.04,824433.62,439245.42,36054.26
S000312,2024-12-01,M002,Consulting,51,32,1459926.17,1000199.28,459726.89,126754.62
S000313,2025-01-01,M002,Consulting,49,30,1190586.79,808228.03,382358.76,52678.04
S000314,2025-02-01,M002,Consulting,44,27,1121746.8,727031.11,394715.69,64725.3
S000315,2025-03-01,M002,Consulting,55,39,1284687.58,864518.46,420169.12,78466.32
S000316,2025-04-01,M002,Consulting,42,30,1084398.39,731184.54,353213.85,25672.46
